window_id,Start,Stop
box350,2020-05-12 10:04:50.751,2020-05-12 10:04:52.498
box351,2020-05-12 10:07:20.023,2020-05-12 10:07:21.788
box352,2020-05-12 11:18:09.940,2020-05-12 11:18:11.834
box353,2020-05-12 11:53:06.440,2020-05-12 11:53:08.213
box354,2020-05-12 11:53:30.474,2020-05-12 11:53:32.249
box355,2020-05-12 11:53:42.260,2020-05-12 11:53:44.015
box356,2020-05-12 11:54:36.480,2020-05-12 11:54:38.261
box357,2020-05-12 11:54:58.528,2020-05-12 11:55:00.287
box358,2020-05-12 11:56:56.935,2020-05-12 11:56:58.707
box359,2020-05-12 12:20:46.248,2020-05-12 12:20:48.151
box360,2020-05-12 12:22:33.158,2020-05-12 12:22:34.925
box361,2020-05-12 12:23:48.522,2020-05-12 12:23:50.284
box362,2020-05-12 12:58:18.325,2020-05-12 12:58:20.103
box363,2020-05-12 13:00:06.064,2020-05-12 13:00:07.836
box364,2020-05-12 13:04:01.915,2020-05-12 13:04:03.708
box365,2020-05-12 13:05:48.075,2020-05-12 13:05:49.838
box366,2020-05-12 13:07:26.486,2020-05-12 13:07:28.194
box367,2020-05-12 13:10:32.037,2020-05-12 13:10:34.014
box368,2020-05-12 13:11:59.307,2020-05-12 13:12:01.131
box369,2020-05-12 13:30:16.543,2020-05-12 13:30:18.284
box370,2020-05-12 13:30:34.788,2020-05-12 13:30:36.584
box371,2020-05-12 13:30:58.780,2020-05-12 13:31:00.566
box372,2020-05-12 13:31:35.472,2020-05-12 13:31:37.240
box373,2020-05-12 13:31:47.383,2020-05-12 13:31:49.147
box374,2020-05-12 13:31:59.731,2020-05-12 13:32:01.527
box375,2020-05-12 13:32:11.993,2020-05-12 13:32:13.701
box376,2020-05-12 13:32:46.853,2020-05-12 13:32:48.640
box377,2020-05-12 13:36:10.102,2020-05-12 13:36:11.803
box378,2020-05-12 13:41:13.283,2020-05-12 13:41:15.043
box379,2020-05-12 13:45:00.688,2020-05-12 13:45:02.412
box380,2020-05-12 13:45:45.450,2020-05-12 13:45:47.221
box381,2020-05-12 14:04:57.877,2020-05-12 14:04:59.645
box382,2020-05-12 14:10:23.153,2020-05-12 14:10:24.927
box383,2020-05-12 14:13:38.966,2020-05-12 14:13:40.735
box384,2020-05-12 14:16:55.569,2020-05-12 14:16:57.262
box385,2020-05-12 14:21:13.392,2020-05-12 14:21:15.151
box386,2020-05-12 14:25:58.767,2020-05-12 14:26:00.567
box387,2020-05-12 14:27:52.357,2020-05-12 14:27:54.147
box388,2020-05-12 14:32:34.423,2020-05-12 14:32:36.193
box389,2020-05-12 14:41:06.111,2020-05-12 14:41:07.821
box390,2020-05-12 14:41:30.022,2020-05-12 14:41:31.713
box391,2020-05-12 14:41:48.531,2020-05-12 14:41:50.263
box392,2020-05-12 14:42:29.888,2020-05-12 14:42:31.586
box393,2020-05-12 14:46:22.881,2020-05-12 14:46:24.590
box394,2020-05-13 06:41:45.212,2020-05-13 06:41:46.968
box395,2020-05-13 06:45:23.405,2020-05-13 06:45:25.118
box396,2020-05-13 07:07:08.145,2020-05-13 07:07:09.916
box397,2020-05-13 07:23:17.845,2020-05-13 07:23:19.622
box398,2020-05-13 07:23:42.124,2020-05-13 07:23:43.897
box399,2020-05-13 07:30:40.159,2020-05-13 07:30:41.988
box400,2020-05-13 07:46:24.914,2020-05-13 07:46:26.679
box401,2020-05-13 07:48:28.117,2020-05-13 07:48:29.880
box402,2020-05-13 07:54:57.151,2020-05-13 07:54:59.113
box403,2020-05-13 07:55:25.016,2020-05-13 07:55:26.781
box404,2020-05-13 07:57:15.695,2020-05-13 07:57:17.484
box405,2020-05-13 07:59:49.380,2020-05-13 07:59:51.154
box406,2020-05-13 08:00:46.484,2020-05-13 08:00:48.242
box407,2020-05-13 08:07:47.972,2020-05-13 08:07:49.748
box408,2020-05-13 08:08:11.906,2020-05-13 08:08:13.692
box409,2020-05-13 08:10:19.187,2020-05-13 08:10:20.883
box410,2020-05-13 08:15:30.931,2020-05-13 08:15:32.703
box411,2020-05-13 08:16:53.660,2020-05-13 08:16:55.506
box412,2020-05-13 08:17:45.026,2020-05-13 08:17:46.923
box413,2020-05-13 08:23:15.488,2020-05-13 08:23:17.213
box414,2020-05-13 08:29:20.370,2020-05-13 08:29:22.144
box415,2020-05-13 08:48:32.662,2020-05-13 08:48:34.477
box416,2020-05-13 08:51:30.766,2020-05-13 08:51:32.521
box417,2020-05-13 09:11:55.196,2020-05-13 09:11:56.966
box418,2020-05-13 09:19:35.650,2020-05-13 09:19:37.346
box419,2020-05-13 09:20:22.323,2020-05-13 09:20:24.091
box420,2020-05-13 09:20:34.653,2020-05-13 09:20:36.377
box421,2020-05-13 09:23:56.198,2020-05-13 09:23:57.970
